Designator,Mid X,Mid Y,Rotation,Layer
C1,155.1,-104.6,90.0,top
C10,160.375,-75.875,90.0,top
C11,164.275,-75.775,270.0,top
C12,167.2,-69.55,180.0,top
C14,166.375,-74.225,270.0,top
C15,162.025,-62.975,90.0,top
C16,165.375,-73.225,270.0,top
C17,159.85,-73.3,270.0,top
C18,156.15,-65.0,180.0,top
C2,146.1,-99.6,270.0,top
C3,144.7,-99.3,270.0,top
C4,140.0,-61.8,0.0,top
C6,168.9,-79.45,270.0,top
C7,140.9675,-91.6,180.0,top
C9,166.6625,-71.425,225.0,top
D1,146.95,-73.3,0.0,top
D2,145.46875,-75.9,0.0,top
D3,145.46875,-77.6,0.0,top
D4,136.95,-61.3,180.0,top
J1,146.3,-66.2,270.0,top
J7,163.45,-100.125,0.0,top
J8,138.55,-105.475,0.0,top
J9,138.5,-66.6,270.0,top
L1,168.0625,-72.125,135.0,top
L2,168.45,-67.95,90.0,top
L3,163.225,-73.275,90.0,top
R1,158.0,-62.15,180.0,top
R10,146.0,-92.3,90.0,top
R11,142.8,-90.6,270.0,top
R12,140.3,-60.5,180.0,top
R2,158.0,-63.2,180.0,top
R3,156.65,-73.85,270.0,top
R4,157.8,-60.5,180.0,top
R5,156.6,-78.1,180.0,top
R6,144.4,-92.3,90.0,top
R7,167.55,-79.5,270.0,top
R8,148.46875,-75.9,180.0,top
R9,148.46875,-77.6,180.0,top
S1,162.8,-80.55,180.0,top
U1,150.6,-101.9,270.0,top
U3,138.6875,-96.3,270.0,top
U4,161.425,-68.125,270.0,top
Y1,162.325,-75.625,180.0,top
